RDEA	Ardea Biosciences
RDEN	Elizabeth Arden
RDI	Reading International Inc
RDIB	Reading International Inc
RDNT	Radnet
RDWR	Radware Ltd
RECN	Resources Connection
REDF	Rediff.Com India Limited
REED	Reeds
REFR	Research Frontiers Inc.
REGN	Regeneron Pharmaceuticals
REIS	Reis Inc
RELL	Richardson Electronics
RELV	Reliv' International
RENT	Rentrak Corp.
REVU	The Princeton Review
REXI	Resource America
REXX	Rex Energy Corp.
RFIL	Rf Industries
RFMD	Rf Micro Devices
RFMI	Rf Monolithics
RGCO	Rgc Resources Inc.
RGDX	Response Genetics
RGEN	Repligen Corp.
RGLD	Royal Gold
RICK	Rick's Cabaret International
RIGL	Rigel Pharmaceuticals
RIMG	Rimage Corp.
RIMM	Research In Motion Limited
RITT	Rit Technologies Ltd
RIVR	River Valley Bancorp.
RJET	Republic Airways Holdings
RLOC	Reachlocal
RLOG	Rand Logistics
RLRN	Renaissance Learning
RMBS	Rambus
RMCF	Rocky Mountain Chocolate Factory
RMKR	Rainmaker Systems
RMTI	Rockwell Medical Technologies
RMTR	Ramtron International Corp.
RNET	Rignet
RNIN	Wireless Ronin Technologies
RNOW	Rightnow Technologies
RNST	Renasant Corp.
RNWK	RealNetworks Inc.
RNWKD	Realnetworks
ROCK	Gibraltar Industries
ROCM	Rochester Medical Corp.
RODM	Rodman & Renshaw Capital Group
ROIA	Radio One
ROIAK	Radio One
ROIC	Retail Opportunity Investments
ROICU	Retail Opportunity Investments
ROICW	Retail Opportunity Investments
ROLL	Rbc Bearings Inc.
ROMA	Roma Financial Corp.
ROSE	Rosetta Resources Inc.
ROSG	Rosetta Genomics Ltd
ROST	Ross Stores
ROVI	Rovi Corp.
ROYL	Royale Energy
RP	Realpage
RPRX	Repros Therapeutics Inc.
RPTP	Raptor Pharmaceutical
RPXC	Rpx Corporation
RRD	R.R. Donnelley & Sons Company
RRGB	Red Robin Gourmet Burgers
RRST	Rrsat Global Communications Network Ltd
RSOL	Real Goods Solar
RSTI	Rofin-Sinar Technologies
RSYS	Radisys Corp.
RTEC	Rudolph Technologies
RTIX	Rti Biologics
RTLX	Retalix Ltd
RUE	Rue21
RUSHA	Rush Enterprises
RUSHB	Rush Enterprises
RUTH	Ruth's Hospitality Group
RVBD	Riverbed Technology
RVSB	Riverview Bancorp Inc
RVSN	Radvision Ltd
RXII	Rxi Pharmaceuticals Corp.
RYAAY	Ryanair Holdings Plc
SAAS	Incontact
SABA	Saba Software
SAFM	Sanderson Farms
SAFT	Safety Insurance Group
SAIA	Saia
SALM	Salem Communications Corp.
SANM	Sanmina-Sci Corp.
SANW	S&W Seed Company
SANWW	S&W Seed Company
SANWZ	S&W Seed Company
SAPE	Sapient Corp.
SAPX	Seven Arts Pictures Plc
SASR	Sandy Spring Bancorp
SATC	Satcon Technology Corp.
SATS	Echostar Corp.
SAVB	The Savannah Bancorp
SAVE	Spirit Airlines Inc.
SBAC	Sba Communications Corp.
SBBX	Sussex Bancorp
SBCF	Seacoast Banking Corporation Of Florida
SBGI	Sinclair Broadcast Group
SBIBN	Sterling Bancshares
SBLK	Star Bulk Carriers
SBNY	Signature Bank
SBNYW	Signature Bank
SBRA	Sabra Healthcare Reit
